time_iso,type,seq,msg_id,t1_browser_ms,t3_python_rx_ms,t4_python_ack_ms,approx_lat_ms,decode_us,process_us,encode_us,total_python_us,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,t2_python_rx_ms,t3_python_tx_ms,sync_proc_us
2026-06-07T15:48:16.991+00:00,SYNC,1,,1780847296989,,,,,,,,,,,,,,1780847296990,1780847296991,1000
2026-06-07T15:48:17.191+00:00,SYNC,2,,1780847297189,,,,,,,,,,,,,,1780847297191,1780847297191,0
2026-06-07T15:48:17.392+00:00,SYNC,3,,1780847297389,,,,,,,,,,,,,,1780847297391,1780847297391,0
2026-06-07T15:48:17.593+00:00,SYNC,4,,1780847297590,,,,,,,,,,,,,,1780847297592,1780847297592,0
2026-06-07T15:48:17.793+00:00,SYNC,5,,1780847297791,,,,,,,,,,,,,,1780847297792,1780847297793,1000
2026-06-07T15:49:00.081+00:00,SYNC,1,,1780847340078,,,,,,,,,,,,,,1780847340080,1780847340080,0
2026-06-07T15:49:00.281+00:00,SYNC,2,,1780847340279,,,,,,,,,,,,,,1780847340280,1780847340281,1000
2026-06-07T15:49:00.482+00:00,SYNC,3,,1780847340479,,,,,,,,,,,,,,1780847340481,1780847340481,0
2026-06-07T15:49:00.683+00:00,SYNC,4,,1780847340680,,,,,,,,,,,,,,1780847340682,1780847340682,0
2026-06-07T15:49:00.884+00:00,SYNC,5,,1780847340881,,,,,,,,,,,,,,1780847340883,1780847340883,0
2026-06-07T15:49:11.085+00:00,SYNC,6,,1780847351082,,,,,,,,,,,,,,1780847351085,1780847351085,0
2026-06-07T15:49:21.085+00:00,SYNC,7,,1780847361083,,,,,,,,,,,,,,1780847361084,1780847361084,0
2026-06-07T15:49:31.085+00:00,SYNC,8,,1780847371083,,,,,,,,,,,,,,1780847371084,1780847371084,0
2026-06-07T15:49:41.086+00:00,SYNC,9,,1780847381083,,,,,,,,,,,,,,1780847381085,1780847381085,0
2026-06-07T15:49:51.086+00:00,SYNC,10,,1780847391084,,,,,,,,,,,,,,1780847391085,1780847391085,0
2026-06-07T15:50:01.086+00:00,SYNC,11,,1780847401084,,,,,,,,,,,,,,1780847401085,1780847401085,0
2026-06-07T15:50:11.086+00:00,SYNC,12,,1780847411084,,,,,,,,,,,,,,1780847411085,1780847411086,1000
2026-06-07T15:50:21.087+00:00,SYNC,13,,1780847421084,,,,,,,,,,,,,,1780847421086,1780847421086,0
2026-06-07T15:50:31.087+00:00,SYNC,14,,1780847431084,,,,,,,,,,,,,,1780847431086,1780847431086,0
2026-06-07T15:50:41.087+00:00,SYNC,15,,1780847441084,,,,,,,,,,,,,,1780847441086,1780847441086,0
2026-06-07T15:50:51.087+00:00,SYNC,16,,1780847451084,,,,,,,,,,,,,,1780847451086,1780847451086,0
2026-06-07T15:51:01.087+00:00,SYNC,17,,1780847461085,,,,,,,,,,,,,,1780847461087,1780847461087,0
2026-06-07T15:51:11.088+00:00,SYNC,18,,1780847471085,,,,,,,,,,,,,,1780847471087,1780847471087,0
2026-06-07T15:51:13.441+00:00,SYNC,19,,1780847473438,,,,,,,,,,,,,,1780847473440,1780847473440,0
2026-06-07T15:51:21.090+00:00,SYNC,20,,1780847481088,,,,,,,,,,,,,,1780847481089,1780847481089,0
2026-06-07T15:51:31.090+00:00,SYNC,21,,1780847491088,,,,,,,,,,,,,,1780847491090,1780847491090,0
2026-06-07T16:13:33.216+00:00,SYNC,1,,1780848813214,,,,,,,,,,,,,,1780848813216,1780848813216,0
2026-06-07T16:13:33.418+00:00,SYNC,2,,1780848813416,,,,,,,,,,,,,,1780848813418,1780848813418,0
2026-06-07T16:13:33.619+00:00,SYNC,3,,1780848813617,,,,,,,,,,,,,,1780848813618,1780848813618,0
2026-06-07T16:13:33.832+00:00,SYNC,4,,1780848813823,,,,,,,,,,,,,,1780848813826,1780848813827,1000
2026-06-07T16:13:34.026+00:00,SYNC,5,,1780848814023,,,,,,,,,,,,,,1780848814025,1780848814026,1000
2026-06-07T16:13:44.227+00:00,SYNC,6,,1780848824224,,,,,,,,,,,,,,1780848824226,1780848824227,1000
2026-06-07T16:13:54.227+00:00,SYNC,7,,1780848834225,,,,,,,,,,,,,,1780848834227,1780848834227,0
2026-06-07T16:14:04.227+00:00,SYNC,8,,1780848844225,,,,,,,,,,,,,,1780848844227,1780848844227,0
2026-06-07T16:14:14.227+00:00,SYNC,9,,1780848854226,,,,,,,,,,,,,,1780848854227,1780848854227,0
2026-06-07T17:22:55.976+00:00,SYNC,1,,1780852975973,,,,,,,,,,,,,,1780852975975,1780852975975,0
2026-06-07T17:22:55.979+00:00,SYNC,2,,1780852975974,,,,,,,,,,,,,,1780852975978,1780852975978,0
2026-06-07T17:22:56.178+00:00,TWIST,3,50,1780852976173,1780852976176,0,3,493,401,423,1317,0.0,0.5,0.0,0.0,0.0,0.0,,,
2026-06-07T17:22:56.252+00:00,TWIST,4,51,1780852976246,1780852976249,0,3,449,453,366,1268,0.0,0.5,0.0,0.0,0.0,0.0,,,
2026-06-07T17:22:56.289+00:00,TWIST,5,52,1780852976283,1780852976286,0,3,520,506,668,1694,0.0,0.5,0.0,0.0,0.0,0.0,,,
2026-06-07T17:22:56.407+00:00,TWIST,6,53,1780852976401,1780852976404,0,3,448,526,383,1357,0.0,0.5,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.433+00:00,TWIST,7,54,1780852976426,1780852976430,0,4,970,559,527,2056,0.0,0.5,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.479+00:00,TWIST,8,55,1780852976473,1780852976476,0,3,557,717,513,1787,0.0,0.5,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.539+00:00,TWIST,9,56,1780852976533,1780852976536,0,3,614,670,551,1835,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.583+00:00,TWIST,10,57,1780852976577,1780852976580,0,3,588,538,491,1617,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.630+00:00,TWIST,11,58,1780852976623,1780852976627,0,4,534,544,866,1944,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.678+00:00,TWIST,12,59,1780852976673,1780852976675,0,2,418,440,349,1207,0.0,-0.5,0.0,0.0,0.0,0.5,,,
2026-06-07T17:22:56.732+00:00,TWIST,13,60,1780852976725,1780852976728,0,3,539,507,521,1567,0.0,-0.5,0.0,0.0,0.0,0.0,,,
2026-06-07T17:22:56.790+00:00,TWIST,14,61,1780852976782,1780852976787,0,5,705,488,634,1827,0.0,-0.5,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.853+00:00,TWIST,15,62,1780852976847,1780852976850,0,3,497,524,422,1443,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.895+00:00,TWIST,16,63,1780852976888,1780852976892,0,4,594,574,510,1678,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.930+00:00,TWIST,17,64,1780852976923,1780852976926,0,3,646,933,700,2279,0.0,0.0,0.0,0.0,0.0,-0.5,,,
2026-06-07T17:22:56.995+00:00,TWIST,18,65,1780852976973,1780852976982,0,9,494,10650,487,11631,0.0,0.0,0.0,0.0,0.0,-0.5,,,
